Nome,Posição,Naturalidade,Clube,Idade
Robert Sanchez,Goleiro,Spain,Chelsea FC,25
Djordje Petrovic,Goleiro,Serbia,Chelsea FC,24
Marcus Bettinelli,Goleiro,England,Chelsea FC,31
Lucas Bergstrom,Goleiro,Finland,Chelsea FC,21
Levi Colwill,Zagueiro,England,Chelsea FC,20
Axel Disasi,Zagueiro,France,Chelsea FC,25
Benoit Badiashile,Zagueiro,France,Chelsea FC,22
Wesley Fofana,Zagueiro,France,Chelsea FC,22
Trevoh Chalobah,Zagueiro,England,Chelsea FC,24
Malang Sarr,Zagueiro,France,Chelsea FC,24
Thiago Silva,Zagueiro,Brazil,Chelsea FC,39
Ben Chilwell,Lateral esquerdo,England,Chelsea FC,26
Marc Cucurella,Lateral esquerdo,Spain,Chelsea FC,25
Ian Maatsen,Lateral esquerdo,Netherlands,Chelsea FC,21
Reece James,Lateral direito,England,Chelsea FC,23
Malo Gusto,Lateral direito,France,Chelsea FC,20
Moises Caicedo,Volante,Ecuador,Chelsea FC,21
Romeo Lavia,Volante,Belgium,Chelsea FC,19
Lesley Ugochukwu,Volante,France,Chelsea FC,19
Enzo Fernandez,Meia,Argentina,Chelsea FC,22
Conor Gallagher,Meia,England,Chelsea FC,23
Carney Chukwuemeka,Meia,England,Chelsea FC,20
Christopher Nkunku,Meia atacante,France,Chelsea FC,25
Cole Palmer,Meia atacante,England,Chelsea FC,21
Raheem Sterling,Meia esquerdo,England,Chelsea FC,28
Mykhaylo Mudryk,Meia esquerdo,Ukraine,Chelsea FC,22
Noni Madueke,Meia direito,England,Chelsea FC,21
Nicolas Jackson,Centroavante,Senegal,Chelsea FC,22
Armando Broja,Centroavante,Albania,Chelsea FC,22
Deivid Washington,Centroavante,Brazil,Chelsea FC,18
Ederson,Goleiro,Brazil,Manchester City,30
Stefan Ortega,Goleiro,Germany,Manchester City,30
Zack Steffen,Goleiro,United States,Manchester City,28
Scott Carson,Goleiro,England,Manchester City,38
Ruben Dias,Zagueiro,Portugal,Manchester City,26
Josko Gvardiol,Zagueiro,Croatia,Manchester City,21
Nathan Ake,Zagueiro,Netherlands,Manchester City,28
John Stones,Zagueiro,England,Manchester City,29
Manuel Akanji,Zagueiro,Switzerland,Manchester City,28
Sergio Gomez,Lateral esquerdo,Spain,Manchester City,23
Rico Lewis,Lateral direito,England,Manchester City,18
Kyle Walker,Lateral direito,England,Manchester City,33
Rodri,Volante,Spain,Manchester City,27
Kalvin Phillips,Volante,England,Manchester City,27
Matheus Nunes,Meia,Portugal,Manchester City,25
Mateo Kovacic,Meia,Croatia,Manchester City,29
Bernardo Silva,Meia atacante,Portugal,Manchester City,29
Kevin De Bruyne,Meia atacante,Belgium,Manchester City,32
Phil Foden,Meia esquerdo,England,Manchester City,23
Jack Grealish,Meia esquerdo,England,Manchester City,28
Jeremy Doku,Meia direito,Belgium,Manchester City,21
Oscar Bobb,Meia direito,Norway,Manchester City,20
Erling Haaland,Centroavante,Norway,Manchester City,23
Julian Alvarez,Centroavante,Argentina,Manchester City,23
Aaron Ramsdale,Goleiro,England,Arsenal FC,25
David Raya,Goleiro,Spain,Arsenal FC,28
Karl Hein,Goleiro,Estonia,Arsenal FC,21
William Saliba,Zagueiro,France,Arsenal FC,22
Gabriel Magalhaes,Zagueiro,Brazil,Arsenal FC,25
Jurrien Timber,Zagueiro,Netherlands,Arsenal FC,22
Jakub Kiwior,Zagueiro,Poland,Arsenal FC,23
Oleksandr Zinchenko,Lateral esquerdo,Ukraine,Arsenal FC,26
Ben White,Lateral direito,England,Arsenal FC,26
Takehiro Tomiyasu,Lateral direito,Japan,Arsenal FC,24
Cedric Soares,Lateral direito,Portugal,Arsenal FC,32
Declan Rice,Volante,England,Arsenal FC,24
Thomas Partey,Volante,Ghana,Arsenal FC,30
Jorginho,Volante,Italy,Arsenal FC,31
Mohamed Elneny,Volante,Egypt,Arsenal FC,31
Martin Ødegaard,Meia atacante,Norway,Arsenal FC,24
Kai Havertz,Meia atacante,Germany,Arsenal FC,24
Emile Smith Rowe,Meia atacante,England,Arsenal FC,23
Fabio Vieira,Meia atacante,Portugal,Arsenal FC,23
Gabriel Martinelli,Meia esquerdo,Brazil,Arsenal FC,22
Leandro Trossard,Meia esquerdo,Belgium,Arsenal FC,28
Bukayo Saka,Meia direito,England,Arsenal FC,22
Reiss Nelson,Meia direito,England,Arsenal FC,23
Gabriel Jesus,Centroavante,Brazil,Arsenal FC,26
Eddie Nketiah,Centroavante,England,Arsenal FC,24
Alisson,Goleiro,Brazil,Liverpool FC,31
Caoimhin Kelleher,Goleiro,Ireland,Liverpool FC,24
Adrian,Goleiro,Spain,Liverpool FC,36
Ibrahima Konate,Zagueiro,France,Liverpool FC,24
Virgil van Dijk,Zagueiro,Netherlands,Liverpool FC,32
Joe Gomez,Zagueiro,England,Liverpool FC,26
Joel Matip,Zagueiro,Cameroon,Liverpool FC,32
Jarell Quansah,Zagueiro,England,Liverpool FC,20
Andrew Robertson,Lateral esquerdo,Scotland,Liverpool FC,29
Konstantinos Tsimikas,Lateral esquerdo,Greece,Liverpool FC,27
Trent Alexander-Arnold,Lateral direito,England,Liverpool FC,25
Conor Bradley,Lateral direito,Northern Ireland,Liverpool FC,20
Wataru Endo,Volante,Japan,Liverpool FC,30
Stefan Bajcetic,Volante,Spain,Liverpool FC,18
Dominik Szoboszlai,Meia,Hungary,Liverpool FC,22
Alexis Mac Allister,Meia,Argentina,Liverpool FC,24
Ryan Gravenberch,Meia,Netherlands,Liverpool FC,21
Curtis Jones,Meia,England,Liverpool FC,22
Thiago,Meia,Spain,Liverpool FC,32
Harvey Elliott,Meia atacante,England,Liverpool FC,20
Luis Diaz,Meia esquerdo,Colombia,Liverpool FC,26
Cody Gakpo,Meia esquerdo,Netherlands,Liverpool FC,24
Diogo Jota,Meia esquerdo,Portugal,Liverpool FC,26
Mohamed Salah,Meia direito,Egypt,Liverpool FC,31
Ben Doak,Meia direito,Scotland,Liverpool FC,17
Darwin Nunez,Centroavante,Uruguay,Liverpool FC,24
Andre Onana,Goleiro,Cameroon,Manchester United,27
Altay Bayındır,Goleiro,Turkey,Manchester United,25
Tom Heaton,Goleiro,England,Manchester United,37
Lisandro Martinez,Zagueiro,Argentina,Manchester United,25
Raphael Varane,Zagueiro,France,Manchester United,30
Harry Maguire,Zagueiro,England,Manchester United,30
Victor Lindelof,Zagueiro,Sweden,Manchester United,29
Jonny Evans,Zagueiro,Northern Ireland,Manchester United,35
Luke Shaw,Lateral esquerdo,England,Manchester United,28
Tyrell Malacia,Lateral esquerdo,Netherlands,Manchester United,24
Sergio Reguilon,Lateral esquerdo,Spain,Manchester United,26
Diogo Dalot,Lateral direito,Portugal,Manchester United,24
Aaron Wan-Bissaka,Lateral direito,England,Manchester United,25
Casemiro,Volante,Brazil,Manchester United,31
Sofyan Amrabat,Volante,Morocco,Manchester United,27
Scott McTominay,Volante,Scotland,Manchester United,26
Donny van de Beek,Meia,Netherlands,Manchester United,26
Kobbie Mainoo,Meia,England,Manchester United,18
Bruno Fernandes,Meia atacante,Portugal,Manchester United,29
Mason Mount,Meia atacante,England,Manchester United,24
Christian Eriksen,Meia atacante,Denmark,Manchester United,31
Hannibal,Meia atacante,Tunisia,Manchester United,20
Shola Shoretire,Meia atacante,England,Manchester United,19
Marcus Rashford,Meia esquerdo,England,Manchester United,25
Jadon Sancho,Meia esquerdo,England,Manchester United,23
Alejandro Garnacho,Meia esquerdo,Argentina,Manchester United,19
Antony,Meia direito,Brazil,Manchester United,23
Amad Diallo,Meia direito,Cote d'Ivoire,Manchester United,21
Facundo Pellistri,Meia direito,Uruguay,Manchester United,21
Rasmus Højlund,Centroavante,Denmark,Manchester United,20
Anthony Martial,Centroavante,France,Manchester United,27
Thibaut Courtois,Goleiro,Belgium,Real Madrid,31
Kepa Arrizabalaga,Goleiro,Spain,Real Madrid,29
Andriy Lunin,Goleiro,Ukraine,Real Madrid,24
Eder Militao,Zagueiro,Brazil,Real Madrid,25
David Alaba,Zagueiro,Austria,Real Madrid,31
Antonio Rudiger,Zagueiro,Germany,Real Madrid,30
Nacho Fernandez,Zagueiro,Spain,Real Madrid,33
Ferland Mendy,Lateral esquerdo,France,Real Madrid,28
Fran Garcia,Lateral esquerdo,Spain,Real Madrid,24
Daniel Carvajal,Lateral direito,Spain,Real Madrid,31
Lucas Vazquez,Lateral direito,Spain,Real Madrid,32
Aurelien Tchouameni,Volante,France,Real Madrid,23
Jude Bellingham,Meia,England,Real Madrid,20
Federico Valverde,Meia,Uruguay,Real Madrid,25
Eduardo Camavinga,Meia,France,Real Madrid,20
Toni Kroos,Meia,Germany,Real Madrid,33
Dani Ceballos,Meia,Spain,Real Madrid,27
Luka Modric,Meia,Croatia,Real Madrid,38
Brahim Diaz,Meia atacante,Spain,Real Madrid,24
Arda Guler,Meia atacante,Turkey,Real Madrid,18
Vinicius Junior,Meia esquerdo,Brazil,Real Madrid,23
Rodrygo,Meia direito,Brazil,Real Madrid,22
Joselu,Centroavante,Spain,Real Madrid,33
Marc-Andre ter Stegen,Goleiro,Germany,FC Barcelona,31
Inaki Pena,Goleiro,Spain,FC Barcelona,24
Ronald Araujo,Zagueiro,Uruguay,FC Barcelona,24
Jules Kounde,Zagueiro,France,FC Barcelona,24
Andreas Christensen,Zagueiro,Denmark,FC Barcelona,27
Inigo Martinez,Zagueiro,Spain,FC Barcelona,32
Alejandro Balde,Lateral esquerdo,Spain,FC Barcelona,20
Marcos Alonso,Lateral esquerdo,Spain,FC Barcelona,32
Joao Cancelo,Lateral direito,Portugal,FC Barcelona,29
Sergi Roberto,Lateral direito,Spain,FC Barcelona,31
Oriol Romeu,Volante,Spain,FC Barcelona,32
Pedri,Meia,Spain,FC Barcelona,20
Gavi,Meia,Spain,FC Barcelona,19
Frenkie de Jong,Meia,Netherlands,FC Barcelona,26
Ilkay Gundogan,Meia,Germany,FC Barcelona,32
Fermin Lopez,Meia,Spain,FC Barcelona,20
Joao Felix,Meia esquerdo,Portugal,FC Barcelona,23
Raphinha,Meia direito,Brazil,FC Barcelona,26
Lamine Yamal,Meia direito,Spain,FC Barcelona,16
Ferran Torres,Meia direito,Spain,FC Barcelona,23
Robert Lewandowski,Centroavante,Poland,FC Barcelona,35
Alex Remiro,Goleiro,Spain,Real Sociedad,28
Unai Marrero,Goleiro,Spain,Real Sociedad,22
Robin Le Normand,Zagueiro,Spain,Real Sociedad,26
Igor Zubeldia,Zagueiro,Spain,Real Sociedad,26
Aritz Elustondo,Zagueiro,Spain,Real Sociedad,29
Jon Pacheco,Zagueiro,Spain,Real Sociedad,22
Kieran Tierney,Lateral esquerdo,Scotland,Real Sociedad,26
Aihen Munoz,Lateral esquerdo,Spain,Real Sociedad,26
Hamari Traore,Lateral direito,Mali,Real Sociedad,31
Alvaro Odriozola,Lateral direito,Spain,Real Sociedad,27
Martin Zubimendi,Volante,Spain,Real Sociedad,24
Urko Gonzalez de Zarate,Volante,Spain,Real Sociedad,22
Mikel Merino,Meia,Spain,Real Sociedad,27
Benat Turrientes,Meia,Spain,Real Sociedad,21
Jon Ander Olasagasti,Meia,Spain,Real Sociedad,23
Brais Mendez,Meia atacante,Spain,Real Sociedad,26
Arsen Zakharyan,Meia atacante,Russia,Real Sociedad,20
Pablo Marin,Meia atacante,Spain,Real Sociedad,20
Mikel Oyarzabal,Meia esquerdo,Spain,Real Sociedad,26
Ander Barrenetxea,Meia esquerdo,Spain,Real Sociedad,21
Martin Merquelanz,Meia esquerdo,Spain,Real Sociedad,28
Takefusa Kubo,Meia direito,Japan,Real Sociedad,22
Umar Sadiq,Centroavante,Nigeria,Real Sociedad,26
Andre Silva,Centroavante,Portugal,Real Sociedad,27
Mohamed-Ali Cho,Centroavante,France,Real Sociedad,19
Carlos Fernandez,Centroavante,Spain,Real Sociedad,27
Unai Simon,Goleiro,Spain,Athletic Bilbao,26
Julen Agirrezabala,Goleiro,Spain,Athletic Bilbao,22
Dani Vivian,Zagueiro,Spain,Athletic Bilbao,24
Yeray Alvarez,Zagueiro,Spain,Athletic Bilbao,28
Aitor Paredes,Zagueiro,Spain,Athletic Bilbao,23
Yuri Berchiche,Lateral esquerdo,Spain,Athletic Bilbao,33
Imanol Garcia de Albeniz,Lateral esquerdo,Spain,Athletic Bilbao,23
Inigo Lekue,Lateral direito,Spain,Athletic Bilbao,30
Oscar de Marcos,Lateral direito,Spain,Athletic Bilbao,34
Mikel Vesga,Volante,Spain,Athletic Bilbao,30
Peru Nolaskoain,Volante,Spain,Athletic Bilbao,24
Inigo Ruiz de Galarreta,Meia,Spain,Athletic Bilbao,30
Ander Herrera,Meia,Spain,Athletic Bilbao,34
Dani Garcia,Meia,Spain,Athletic Bilbao,33
Benat Prados,Meia,Spain,Athletic Bilbao,22
Unai Gomez,Meia,Spain,Athletic Bilbao,20
Oihan Sancet,Meia atacante,Spain,Athletic Bilbao,23
Iker Muniain,Meia atacante,Spain,Athletic Bilbao,30
Alex Berenguer,Meia esquerdo,Spain,Athletic Bilbao,28
Adu Ares,Meia esquerdo,Spain,Athletic Bilbao,22
Nico Williams,Meia direito,Spain,Athletic Bilbao,21
Inaki Williams,Meia direito,Ghana,Athletic Bilbao,29
Gorka Guruzeta,Centroavante,Spain,Athletic Bilbao,27
Asier Villalibre,Centroavante,Spain,Athletic Bilbao,26
Raul Garcia,Centroavante,Spain,Athletic Bilbao,37
Rui Silva,Goleiro,Portugal,Real Betis Balompie,29
Claudio Bravo,Goleiro,Chile,Real Betis Balompie,40
German Pezzella,Zagueiro,Argentina,Real Betis Balompie,32
Marc Bartra,Zagueiro,Spain,Real Betis Balompie,32
Chadi Riad,Zagueiro,Morocco,Real Betis Balompie,20
Juan Miranda,Lateral esquerdo,Spain,Real Betis Balompie,23
Abner,Lateral esquerdo,Brazil,Real Betis Balompie,23
Hector Bellerin,Lateral direito,Spain,Real Betis Balompie,28
Youssouf Sabaly,Lateral direito,Senegal,Real Betis Balompie,30
Guido Rodriguez,Volante,Argentina,Real Betis Balompie,29
Marc Roca,Volante,Spain,Real Betis Balompie,26
William Carvalho,Volante,Portugal,Real Betis Balompie,31
Sergi Altimira,Meia,Spain,Real Betis Balompie,22
Andres Guardado,Meia,Mexico,Real Betis Balompie,37
Nabil Fekir,Meia atacante,France,Real Betis Balompie,30
Rodri Sanchez,Meia atacante,Spain,Real Betis Balompie,23
Isco,Meia atacante,Spain,Real Betis Balompie,31
Abde Ezzalzouli,Meia esquerdo,Morocco,Real Betis Balompie,21
Assane Diao,Meia esquerdo,Spain,Real Betis Balompie,18
Ayoze Perez,Meia esquerdo,Spain,Real Betis Balompie,30
Luiz Henrique,Meia direito,Brazil,Real Betis Balompie,22
Aitor Ruibal,Meia direito,Spain,Real Betis Balompie,27
Juan Cruz,Meia direito,Spain,Real Betis Balompie,23
Borja Iglesias,Centroavante,Spain,Real Betis Balompie,30
Willian Jose,Centroavante,Brazil,Real Betis Balompie,31
Manuel Neuer,Goleiro,Germany,Bayern Munich,37
Daniel Peretz,Goleiro,Israel,Bayern Munich,23
Sven Ulreich,Goleiro,Germany,Bayern Munich,35
Tom Hulsmann,Goleiro,Germany,Bayern Munich,19
Matthijs de Ligt,Zagueiro,Netherlands,Bayern Munich,24
Dayot Upamecano,Zagueiro,France,Bayern Munich,24
Min-jae Kim,Zagueiro,South Korea,Bayern Munich,26
Tarek Buchmann,Zagueiro,Germany,Bayern Munich,18
Alphonso Davies,Lateral esquerdo,Canada,Bayern Munich,22
Raphael Guerreiro,Lateral esquerdo,Portugal,Bayern Munich,29
Frans Kratzig,Lateral esquerdo,Germany,Bayern Munich,20
Noussair Mazraoui,Lateral direito,Morocco,Bayern Munich,25
Bouna Sarr,Lateral direito,Senegal,Bayern Munich,31
Joshua Kimmich,Volante,Germany,Bayern Munich,28
Aleksandar Pavlovic,Volante,Germany,Bayern Munich,19
Leon Goretzka,Meia,Germany,Bayern Munich,28
Konrad Laimer,Meia,Austria,Bayern Munich,26
Taichi Fukui,Meia,Japan,Bayern Munich,19
Jamal Musiala,Meia atacante,Germany,Bayern Munich,20
Kingsley Coman,Meia esquerdo,France,Bayern Munich,27
Leroy Sane,Meia direito,Germany,Bayern Munich,27
Serge Gnabry,Meia direito,Germany,Bayern Munich,28
Thomas Muller,Second Striker,Germany,Bayern Munich,34
Harry Kane,Centroavante,England,Bayern Munich,30
Mathys Tel,Centroavante,France,Bayern Munich,18
Eric Maxim Choupo-Moting,Centroavante,Cameroon,Bayern Munich,34
Matej Kovar,Goleiro,Czech Republic,Bayer 04 Leverkusen,23
Lukas Hradecky,Goleiro,Finland,Bayer 04 Leverkusen,33
Niklas Lomb,Goleiro,Germany,Bayer 04 Leverkusen,30
Edmond Tapsoba,Zagueiro,Burkina Faso,Bayer 04 Leverkusen,24
Piero Hincapie,Zagueiro,Ecuador,Bayer 04 Leverkusen,21
Odilon Kossounou,Zagueiro,Cote d'Ivoire,Bayer 04 Leverkusen,22
Jonathan Tah,Zagueiro,Germany,Bayer 04 Leverkusen,27
Madi Monamay,Zagueiro,Belgium,Bayer 04 Leverkusen,17
Alejandro Grimaldo,Lateral esquerdo,Spain,Bayer 04 Leverkusen,28
Jeremie Frimpong,Lateral direito,Netherlands,Bayer 04 Leverkusen,22
Josip Stanisic,Lateral direito,Croatia,Bayer 04 Leverkusen,23
Arthur,Lateral direito,Brazil,Bayer 04 Leverkusen,20
Timothy Fosu-Mensah,Lateral direito,Netherlands,Bayer 04 Leverkusen,25
Granit Xhaka,Volante,Switzerland,Bayer 04 Leverkusen,31
Noah Mbamba,Volante,Belgium,Bayer 04 Leverkusen,18
Exequiel Palacios,Meia,Argentina,Bayer 04 Leverkusen,25
Robert Andrich,Meia,Germany,Bayer 04 Leverkusen,29
Nadiem Amiri,Meia,Germany,Bayer 04 Leverkusen,26
Gustavo Puerta,Meia,Colombia,Bayer 04 Leverkusen,20
Florian Wirtz,Meia atacante,Germany,Bayer 04 Leverkusen,20
Ayman Aourir,Meia atacante,Morocco,Bayer 04 Leverkusen,19
Amine Adli,Meia direito,Morocco,Bayer 04 Leverkusen,23
Nathan Tella,Meia direito,England,Bayer 04 Leverkusen,24
Jonas Hofmann,Meia direito,Germany,Bayer 04 Leverkusen,31
Victor Boniface,Centroavante,Nigeria,Bayer 04 Leverkusen,22
Patrik Schick,Centroavante,Czech Republic,Bayer 04 Leverkusen,27
Adam Hlozek,Centroavante,Czech Republic,Bayer 04 Leverkusen,21
Janis Blaswich,Goleiro,Germany,RB Leipzig,32
Peter Gulacsi,Goleiro,Hungary,RB Leipzig,33
Leopold Zingerle,Goleiro,Germany,RB Leipzig,29
Timo Schlieck,Goleiro,Germany,RB Leipzig,17
Mohamed Simakan,Zagueiro,France,RB Leipzig,23
Castello Lukeba,Zagueiro,France,RB Leipzig,20
El Chadaille Bitshiabu,Zagueiro,France,RB Leipzig,18
Willi Orban,Zagueiro,Hungary,RB Leipzig,30
Tim Kohler,Zagueiro,Germany,RB Leipzig,18
David Raum,Lateral esquerdo,Germany,RB Leipzig,25
Christopher Lenz,Lateral esquerdo,Germany,RB Leipzig,29
Benjamin Henrichs,Lateral direito,Germany,RB Leipzig,26
Lukas Klostermann,Lateral direito,Germany,RB Leipzig,27
Xaver Schlager,Meia,Austria,RB Leipzig,26
Nicolas Seiwald,Meia,Austria,RB Leipzig,22
Amadou Haidara,Meia,Mali,RB Leipzig,25
Ilaix Moriba,Meia,Guinea,RB Leipzig,20
Kevin Kampl,Meia,Slovenia,RB Leipzig,33
Dani Olmo,Meia atacante,Spain,RB Leipzig,25
Christoph Baumgartner,Meia atacante,Austria,RB Leipzig,24
Fabio Carvalho,Meia atacante,Portugal,RB Leipzig,21
Emil Forsberg,Meia atacante,Sweden,RB Leipzig,31
Xavi Simons,Meia direito,Netherlands,RB Leipzig,20
Lois Openda,Centroavante,Belgium,RB Leipzig,23
Benjamin Sesko,Centroavante,Slovenia,RB Leipzig,20
Timo Werner,Centroavante,Germany,RB Leipzig,27
Yussuf Poulsen,Centroavante,Denmark,RB Leipzig,29
Gregor Kobel,Goleiro,Switzerland,Borussia Dortmund,25
Marcel Lotka,Goleiro,Germany,Borussia Dortmund,22
Alexander Meyer,Goleiro,Germany,Borussia Dortmund,32
Nico Schlotterbeck,Zagueiro,Germany,Borussia Dortmund,23
Niklas Sule,Zagueiro,Germany,Borussia Dortmund,28
Mats Hummels,Zagueiro,Germany,Borussia Dortmund,34
Antonios Papadopoulos,Zagueiro,Germany,Borussia Dortmund,24
Ramy Bensebaini,Lateral esquerdo,Algeria,Borussia Dortmund,28
Julian Ryerson,Lateral direito,Norway,Borussia Dortmund,25
Marius Wolf,Lateral direito,Germany,Borussia Dortmund,28
Thomas Meunier,Lateral direito,Belgium,Borussia Dortmund,32
Mateu Morey,Lateral direito,Spain,Borussia Dortmund,23
Emre Can,Volante,Germany,Borussia Dortmund,29
Salih Ozcan,Volante,Turkey,Borussia Dortmund,25
Abdoulaye Kamara,Volante,France,Borussia Dortmund,18
Felix Nmecha,Meia,Germany,Borussia Dortmund,23
Marcel Sabitzer,Meia,Austria,Borussia Dortmund,29
Ole Pohlmann,Meia,Germany,Borussia Dortmund,22
Julian Brandt,Meia atacante,Germany,Borussia Dortmund,27
Giovanni Reyna,Meia atacante,United States,Borussia Dortmund,20
Marco Reus,Meia atacante,Germany,Borussia Dortmund,34
Karim Adeyemi,Meia esquerdo,Germany,Borussia Dortmund,21
Jamie Bynoe-Gittens,Meia esquerdo,England,Borussia Dortmund,19
Donyell Malen,Meia direito,Netherlands,Borussia Dortmund,24
Julien Duranville,Meia direito,Belgium,Borussia Dortmund,17
Youssoufa Moukoko,Centroavante,Germany,Borussia Dortmund,18
Sebastien Haller,Centroavante,Cote d'Ivoire,Borussia Dortmund,29
Niclas Fullkrug,Centroavante,Germany,Borussia Dortmund,30
Koen Casteels,Goleiro,Belgium,VfL Wolfsburg,31
Pavao Pervan,Goleiro,Austria,VfL Wolfsburg,35
Philipp Schulze,Goleiro,Germany,VfL Wolfsburg,20
Niklas Klinger,Goleiro,Germany,VfL Wolfsburg,28
Maxence Lacroix,Zagueiro,France,VfL Wolfsburg,23
Cedric Zesiger,Zagueiro,Switzerland,VfL Wolfsburg,25
Moritz Jenz,Zagueiro,Germany,VfL Wolfsburg,24
Sebastiaan Bornauw,Zagueiro,Belgium,VfL Wolfsburg,24
Felix Lange,Zagueiro,Germany,VfL Wolfsburg,19
Rogerio,Lateral esquerdo,Brazil,VfL Wolfsburg,25
Nicolas Cozza,Lateral esquerdo,France,VfL Wolfsburg,24
Joakim Maehle,Lateral direito,Denmark,VfL Wolfsburg,26
Ridle Baku,Lateral direito,Germany,VfL Wolfsburg,25
Kilian Fischer,Lateral direito,Germany,VfL Wolfsburg,23
Lovro Majer,Meia,Croatia,VfL Wolfsburg,25
Mattias Svanberg,Meia,Sweden,VfL Wolfsburg,24
Maximilian Arnold,Meia,Germany,VfL Wolfsburg,29
Aster Vranckx,Meia,Belgium,VfL Wolfsburg,21
Yannick Gerhardt,Meia,Germany,VfL Wolfsburg,29
Kevin Paredes,Left Midfield,United States,VfL Wolfsburg,20
Jakub Kaminski,Meia esquerdo,Poland,VfL Wolfsburg,21
Ulysses Llanez,Meia esquerdo,United States,VfL Wolfsburg,22
Patrick Wimmer,Meia direito,Austria,VfL Wolfsburg,22
